model,measure,signature,referenced_tables,dax_len
Supply Plan Detail,Network SI (TW),"```calculate(sum(col),col=num)```",SupplyPlanDetail; z_FiscalCal,81
Supply Plan Detail,Network SI Neg (TW),"calculate(sum(col),col=num)",SupplyPlanDetail; z_FiscalCal,77
Supply Plan Detail,Network SI Neg (W26),"calculate(sum(col),col=num)",SupplyPlanDetail; z_FiscalCal,78
Supply Plan Detail,Network SI Neg (W17),"calculate(sum(col),col=num)",SupplyPlanDetail; z_FiscalCal,78
Supply Plan Detail,Network SI Neg (W08),"calculate(sum(col),col=num)",SupplyPlanDetail; z_FiscalCal,77
Supply Plan Detail,Cumulative NetFcst,"calculate(sum(col),filter(all(col),col<=max(col)))",SupplyPlanDetail; z_FiscalCal,155
Supply Plan Detail,Net Fcst,calculate(sum(col)),SupplyPlanDetail,46
Supply Plan Detail,Capable To Promise,meas+meas,,33
Supply Plan Detail,ProjFulfillmentQty,calculate(sum(col)),SupplyPlanDetail,44
Supply Plan Detail,RollingCumDemand,calculate(sum(col)),SupplyPlanDetail,48
Supply Plan Detail,ProjFulfillment%,"divide(meas,meas)",,47
Top Negatives,Background color,"if(max(col)=str,str,blank())",SPD2,55
Top Negatives,Font color,"if(max(col)=str,str,blank())",SPD2,50
Top Negatives,Background color MP,"if(max(col)=str,str,blank())",SPD2,61
Top Negatives,Font color MP,"if(max(col)=str,str,blank())",SPD2,59
Weekly Trend Analysis,ACTD (accy),calculate(sum(col)),FcstAccuracy,40
Weekly Trend Analysis,Lag Fcst,calculate(sum(col)),FcstAccuracy,38
Weekly Trend Analysis,90Day Error,meas-meas,,26
Weekly Trend Analysis,90Day Error %,"divide(calculate(sum(col)),calculate(sum(col)))-num",FcstAccuracy,89
Weekly Trend Analysis,Working Fcst,calculate(sum(col)),Forecast,29
Weekly Trend Analysis,FUTO,"calculate(sum(col),col=str,filter(z_fiscalcal,col>=num))",Actuals; z_FiscalCal,124
Weekly Trend Analysis,Curr Qty,"calculate(sum(col),col=str)",Actuals,66
Weekly Trend Analysis,Inv Qty,"calculate(sum(col),col=str,filter(z_fiscalcal,col<num))",Actuals; z_FiscalCal,116
Weekly Trend Analysis,Writ Qty,"calculate(sum(col),col=str,filter(z_fiscalcal,col<num))",Actuals; z_FiscalCal,115
Weekly Trend Analysis,Curr Req Qty,"calculate(sum(col),col=str)",Actuals,66
Weekly Trend Analysis,Inv Qty (CS),"calculate(sum(col),col=str,filter(z_fiscalcal,col<num))",Actuals; z_FiscalCal,116
Weekly Trend Analysis,dfoFUTO,"calculate(sum(col),col=num)",FutOrd; z_FiscalCal,79
Weekly Trend Analysis,dfoFcst,"calculate(sum(col),col=num)",FutOrd; z_FiscalCal,76
Weekly Trend Analysis,dfoConsumption,"divide(meas,meas)",,27
Weekly Trend Analysis,dfoGap,meas-meas,,19
When to Disco v2,3 MO Avg,calculate(sum(col)),When To Disco,41
When to Disco v2,Balance Minus Customer Orders 335,calculate(sum(col)),When To Disco,66
When to Disco v2,Balance OH Minus Customer Orders,calculate(sum(col)),When To Disco,62
When to Disco v2,Balance On Hand + In Transit & On Order,calculate(sum(col)),When To Disco,64
When to Disco v2,Customer Allocated Orders,calculate(sum(col)),When To Disco,58
When to Disco v2,In Transit & On Order,calculate(sum(col)),When To Disco,54
When to Disco v2,Months of Supply,"divide(meas,meas)",,53
When to Disco v2,On-Hand Qty,calculate(sum(col)),When To Disco,44
When to Disco v2,All Inventory Minus Alloc Orders,meas+meas,,72
When to Disco v2,3 MO Avg ASH,calculate(average(col)),When to Disco,49
When to Disco v2,Months of Supply ASH,"divide(meas,meas)",,58
When to Disco v2,MOS ALL,"divide(meas,(meas+meas))",,70
